,FIPS,County_Name,State,UIC_2013,UIC_Group,MEDICARE_ENROLL,POPESTIMATE,MED_HOUSE_INCOME,PHARMA_COUNT,HOSP_BED_100,POP_1MILE_TO_PARK,MEDICARE_RATE,PARK_1MILE_RATE
255,08021,Conejos County,CO,12,Nonmetro,1952,7461,39822,Data Not Collected,22.78,6118,0.26162712773086716,0.8199973193941831
256,08023,Costilla County,CO,12,Nonmetro,1193,3499,35639,Data Not Collected,No Counts,2191,0.34095455844527006,0.6261789082595027
257,08025,Crowley County,CO,7,Nonmetro,871,5922,36836,1,No Counts,1053,0.14707868963188112,0.1778115501519757
258,08027,Custer County,CO,7,Nonmetro,1827,4704,60485,Data Not Collected,No Counts,4369,0.38839285714285715,0.9287840136054422
259,08029,Delta County,CO,6,Nonmetro,9494,31196,53553,4,15.69,25340,0.3043338889601231,0.812283626105911
260,08031,Denver County,CO,1,Metro,92736,715522,75355,51,42.79,715830,0.1296060778005428,1.0004304549685406
261,08033,Dolores County,CO,12,Nonmetro,568,2326,50821,Data Not Collected,No Counts,1628,0.24419604471195186,0.6999140154772141
262,08035,Douglas County,CO,1,Metro,48935,357978,122290,34,21.6,299913,0.13669834459100838,0.8377972948058261
263,08037,Eagle County,CO,8,Nonmetro,6425,55731,94309,6,10.06,54624,0.1152859270424001,0.9801367282123056
264,08039,Elbert County,CO,1,Metro,5067,26062,107139,2,No Counts,568,0.19442099608625585,0.021794183101834088
265,08041,El Paso County,CO,2,Metro,111663,730395,72459,70,19.29,598525,0.15288029080155258,0.8194538571594822
266,08043,Fremont County,CO,5,Nonmetro,12672,48939,52414,4,5.1,29647,0.2589345920431558,0.6057949692474305
267,08045,Garfield County,CO,8,Nonmetro,8916,61685,79958,6,16.67,56144,0.14454081219097026,0.9101726513739159
268,08047,Gilpin County,CO,1,Metro,1072,5808,79622,Data Not Collected,No Counts,5972,0.18457300275482094,1.028236914600551
269,08049,Grand County,CO,10,Nonmetro,2696,15717,74484,2,14.62,14545,0.1715340077622956,0.9254310619074887
270,08051,Gunnison County,CO,11,Nonmetro,2522,16918,68214,2,14.16,16961,0.1490719943255704,1.0025416715923867
271,08053,Hinsdale County,CO,12,Nonmetro,251,788,63034,Data Not Collected,No Counts,781,0.31852791878172587,0.9911167512690355
272,08055,Huerfano County,CO,6,Nonmetro,2441,6820,49502,Data Not Collected,29.37,3410,0.35791788856304985,0.5
273,08057,Jackson County,CO,10,Nonmetro,342,1379,55430,Data Not Collected,No Counts,1219,0.2480058013052937,0.8839738941261784
274,08059,Jefferson County,CO,1,Metro,108309,582910,90097,73,11,571752,0.1858074145236829,0.9808581084558509
275,08061,Kiowa County,CO,12,Nonmetro,348,1446,49179,1,172.18,87,0.24066390041493776,0.06016597510373444
276,08063,Kit Carson County,CO,11,Nonmetro,1524,7087,54642,Data Not Collected,26.9,67,0.21504162551149994,0.009453929730492451
277,08065,Lake County,CO,4,Nonmetro,1029,7436,61518,1,33.74,7845,0.13838084991931146,1.0550026896180742
278,08067,La Plata County,CO,5,Nonmetro,11340,55638,66080,6,16.89,44440,0.20381753477838888,0.7987346777382365
279,08069,Larimer County,CO,2,Metro,65228,359066,80344,41,20.63,334205,0.18166019617563345,0.9307620326068188
